     sec               kgf         kgf/mm2              mm               %          Spare1          Spare2
==========================================================================================================
   0.015	     0.001	     0.000	     0.000	     0.000	   0.00000	   0.00000
   0.020	     0.002	     0.000	     0.025	     0.100	   0.00000	   0.00000
   0.030	     0.005	     0.001	     0.000	     0.000	   0.00000	   0.00000
   0.040	     0.007	     0.001	     0.003	     0.010	   0.00000	   0.00000
   0.050	     0.011	     0.002	     0.005	     0.020	   0.00000	   0.00000
   0.055	     0.012	     0.002	     0.008	     0.030	   0.00000	   0.00000
   0.060	     0.014	     0.002	     0.010	     0.040	   0.00000	   0.00000
   0.065	     0.015	     0.002	     0.013	     0.050	   0.00000	   0.00000
   0.070	     0.019	     0.003	     0.015	     0.060	   0.00000	   0.00000
   0.080	     0.022	     0.003	     0.018	     0.070	   0.00000	   0.00000
   0.090	     0.028	     0.004	     0.020	     0.080	   0.00000	   0.00000
   0.095	     0.030	     0.004	     0.023	     0.090	   0.00000	   0.00000
   0.105	     0.035	     0.005	     0.025	     0.100	   0.00000	   0.00000
   0.110	     0.037	     0.005	     0.000	     0.000	   0.00000	   0.00000
   0.120	     0.044	     0.006	     0.025	     0.100	   0.00000	   0.00000
   0.130	     0.049	     0.007	     0.000	     0.000	   0.00000	   0.00000
   0.135	     0.054	     0.008	     0.025	     0.100	   0.00000	   0.00000
   0.145	     0.059	     0.008	     0.050	     0.201	   0.00000	   0.00000
   0.155	     0.067	     0.009	     0.075	     0.301	   0.00000	   0.00000
   0.160	     0.070	     0.010	     0.100	     0.401	   0.00000	   0.00000
   0.175	     0.079	     0.011	     0.125	     0.501	   0.00000	   0.00000
   0.190	     0.089	     0.013	     0.150	     0.602	   0.00000	   0.00000
   0.195	     0.095	     0.013	     0.175	     0.702	   0.00000	   0.00000
   0.205	     0.101	     0.014	     0.201	     0.802	   0.00000	   0.00000
   0.210	     0.104	     0.015	     0.226	     0.902	   0.00000	   0.00000
   0.215	     0.109	     0.015	     0.238	     0.953	   0.00000	   0.00000
   0.220	     0.112	     0.016	     0.251	     1.003	   0.00000	   0.00000
   0.225	     0.115	     0.016	     0.276	     1.103	   0.00000	   0.00000
   0.235	     0.121	     0.017	     0.301	     1.203	   0.00000	   0.00000
   0.240	     0.127	     0.018	     0.326	     1.304	   0.00000	   0.00000
   0.255	     0.136	     0.019	     0.351	     1.404	   0.00000	   0.00000
   0.260	     0.142	     0.020	     0.401	     1.604	   0.00000	   0.00000
   0.265	     0.145	     0.020	     0.426	     1.705	   0.00000	   0.00000
   0.275	     0.154	     0.022	     0.451	     1.805	   0.00000	   0.00000
   0.285	     0.160	     0.023	     0.476	     1.905	   0.00000	   0.00000
   0.290	     0.163	     0.023	     0.501	     2.005	   0.00000	   0.00000
   0.295	     0.166	     0.023	     0.526	     2.106	   0.00000	   0.00000
   0.315	     0.180	     0.025	     0.577	     2.306	   0.00000	   0.00000
   0.320	     0.185	     0.026	     0.639	     2.557	   0.00000	   0.00000
   0.325	     0.188	     0.027	     0.652	     2.607	   0.00000	   0.00000
   0.335	     0.197	     0.028	     0.677	     2.707	   0.00000	   0.00000
   0.345	     0.202	     0.029	     0.727	     2.908	   0.00000	   0.00000
   0.350	     0.205	     0.029	     0.739	     2.958	   0.00000	   0.00000
   0.355	     0.207	     0.029	     0.752	     3.008	   0.00000	   0.00000
   0.375	     0.223	     0.032	     0.852	     3.409	   0.00000	   0.00000
   0.380	     0.226	     0.032	     0.877	     3.509	   0.00000	   0.00000
   0.385	     0.229	     0.032	     0.890	     3.560	   0.00000	   0.00000
   0.390	     0.232	     0.033	     0.902	     3.610	   0.00000	   0.00000
   0.410	     0.245	     0.035	     0.978	     3.911	   0.00000	   0.00000
   0.415	     0.247	     0.035	     0.978	     3.911	   0.00000	   0.00000
   0.420	     0.252	     0.036	     1.028	     4.111	   0.00000	   0.00000
   0.435	     0.263	     0.037	     1.053	     4.211	   0.00000	   0.00000
   0.440	     0.265	     0.037	     1.078	     4.312	   0.00000	   0.00000
   0.445	     0.267	     0.038	     1.128	     4.512	   0.00000	   0.00000
   0.450	     0.270	     0.038	     1.153	     4.612	   0.00000	   0.00000
   0.460	     0.277	     0.039	     1.178	     4.713	   0.00000	   0.00000
   0.470	     0.282	     0.040	     1.203	     4.813	   0.00000	   0.00000
   0.475	     0.284	     0.040	     1.228	     4.913	   0.00000	   0.00000
   0.480	     0.287	     0.040	     1.262	     5.047	   0.00000	   0.00000
   0.500	     0.301	     0.043	     1.329	     5.314	   0.00000	   0.00000
   0.505	     0.304	     0.043	     1.337	     5.348	   0.00000	   0.00000
   0.510	     0.306	     0.043	     1.345	     5.381	   0.00000	   0.00000
   0.515	     0.308	     0.044	     1.354	     5.415	   0.00000	   0.00000
   0.520	     0.311	     0.044	     1.379	     5.515	   0.00000	   0.00000
   0.525	     0.313	     0.044	     1.391	     5.565	   0.00000	   0.00000
   0.530	     0.318	     0.045	     1.429	     5.715	   0.00000	   0.00000
   0.545	     0.327	     0.046	     1.479	     5.916	   0.00000	   0.00000
   0.565	     0.336	     0.047	     1.579	     6.317	   0.00000	   0.00000
   0.570	     0.340	     0.048	     1.604	     6.417	   0.00000	   0.00000
